Ranking;Nombre;NIF;patentes;ano_constitucion;poblacion;comarca;sector_amigable;grupo_empresarial;rol_en_grupo;ventas_confianza;empleados_numero;empleados_fuente;ceo_actual;ventas_reales;ventas_fuente;inversores_capital_privado;usa_ia;ia_detalle;stack_nivel;stack_detalle;equipo_tech_estimacion;roles_tech_detectados;pct_exportacion;inversion_id;mercado_b2b_b2c;posicion_mercado;producto_propio;mercado_cotizacion;tipologia_propiedad;taxonomia_confianza;taxonomia_razonamiento;rol_ecosistema;rol_ecosistema_confianza;rol_ecosistema_razonamiento;es_campeona_oculta
139;CALERA DE ALZO SL;B20814398;0.0;2003;Altzo;Tolosaldea;Minerales no metálicos;;independiente;media;69.0;eInforma 2024 - entidad local Calera de Alzo SL;Jon Santa Cruz;33095000.0;Ranking Empresas El Economista 2022 (última cifra disponible);;No;;Básico;ERP: SAP (inferido por grupo). Sistemas de gestión ambiental ISO 14001. Tecnologías de producción: hornos regenerativos Maerz (1973), instalaciones de última tecnología para calcinación;mínimo (<5);;Sí (empresa exportadora confirmada). Calcinor presente en 5 continentes, pero % específico de Calera de Alzo no disponible;Inversión en sostenibilidad: acuerdo medioambiental con Gobierno Vasco (5MM€ en plantas de Altzo). Participación en proyecto COnet2 Norte (captura CO2 industrial). Centro I+D del grupo en innovación de procesos sostenibles;B2B;Nacional;Sí, productos propios: Óxido de Calcio (cal viva), Hidróxido de Calcio (cal hidratada), Carbonato de Calcio, Lechada Cálcica, Áridos Calizos, Áridos Dolomíticos. Posición 1 en ranking sectorial CNAE 2352 (Fabricación de cal y yeso) en Gipuzkoa;No cotiza;Empresa familiar — Gran grupo;alta;Pertenece al holding familiar CALCINOR SL, grupo de ~21 empresas de base familiar. Ventas de 33M€ pero el grupo supera ampliamente los 250 empleados y 50M€ consolidados. No se detectan PE/VC con ≥20%.;Resto del tejido empresarial;alta;Planta de cal y áridos calizos del grupo familiar Calcinor. Referente nacional en su CNAE pero no líder mundial en nicho diferenciado. 69 empleados, 33M€. Producto commodity (cal viva, carbonato cálcico). No cumple criterios de campeona oculta ni escala de campeona famosa.;
141;INTEGRACION INDUSTRIAL ELEKTRONIKA SL;B20681268;0.0;1999;Errenteria;Bidasoa;Electrónica e instrumentación;;independiente;media;110.0;eInforma 2024, Empresite, Axesor;;32000000.0;eInforma 2024 (disminución 16.93% respecto a 2023 desde ~38.5M€);"Mirai Investments (PE/family office de José Antonio Jainaga, presidente de Talgo y Sidenor); Instituto Vasco de Finanzas (IVF, público); Fundación Vital; Carmen Lequerica family office";;;;;sin evidencia;;;Participación en proyecto Nondago (2022): consorcio de 9 empresas vascas con inversión 2.1M€ para sistema de seguimiento real en plantas productivas. Subvención SPRI (Agencia Vasca Desarrollo Empresarial) registrada en 2025;B2B;Nacional;No (subcontratista/servicios). Empresa de EMS (Electronics Manufacturing Services) especializada en fabricación y montaje de componentes electrónicos para terceros;No cotiza;Participada por PE / capital riesgo / family office;alta;Controlada 100% por OHMNIA ELECTRONICA SL, que a su vez está participada por Mirai Investments (family office de José Antonio Jainaga) con participación relevante ≥20%. Prevalece sobre clasificación familiar según regla de prelación.;Resto del tejido empresarial;alta;EMS (Electronics Manufacturing Services): subcontratista de fabricación y montaje de circuitos impresos para terceros. Sin producto propio, sin liderazgo de nicho mundial. 110 empleados, 32M€, referente nacional (3ª posición CNAE). No cumple criterios de campeona oculta (no fabricante de producto propio, no líder mundial).;
143;IBARMIA INNOVATEK SL;B20896288;0.0;2006;Azkoitia;Urola-Costa;Maquinaria y equipo;;independiente;media;111.0;eInforma 2024 (IBARMIA INNOVATEK SL entidad local);Koldo Arandia;40321597.0;eInforma 2024 (crecimiento 5.1% sobre 38.307.045€ de 2023);MODIG Machine Tool AB (Suecia) - participación minoritaria relevante adquirida en 2024. No se detectan PE/VC tradicionales ni family offices vascos;Sí;Integración de inteligencia artificial en centros de mecanizado: automatización inteligente de procesos, gestión robotizada del cambio de herramienta, control numérico avanzado (CNC), sistemas de paletas automatizados (Rotopallet), Non Stop Machining para mecanizado en ciclo continuo. Digitalización de procesos de fabricación, mantenimiento remoto y control de máquinas con IA. Proyecto SARA para impulsar autonomía e inteligencia en sistemas de fabricación (2025). Máquinas híbridas con capacidades avanzadas combinando fabricación aditiva con mecanizado por arranque de viruta;Avanzado;Control numérico CNC de 5 ejes, sistemas de automatización industrial, cabezales giratorios automáticos, electro husillos de alta potencia (hasta 84 kW), sistemas de paletas automatizados, divisores integrados, pantallas Heidenhain, control de máquinas con arquitectura modular personalizable. Desarrollo propio de software de control CNC. Integración de sistemas IoT industrial para monitoreo remoto. Digitalización de procesos de fabricación. Máquinas multitarea que integran fresado, torneado, mandrinado. Tecnología de control de precisión de última generación;medio (5-20);Directora de Innovación (Arrate Olaiz), Business Development Manager, Departamento de Nuevos Desarrollos (ingeniería), especialistas en automatización, control numérico, diseño de máquinas, ingenieros de software CNC;94;11% de ventas anuales en I+D+i (2023), también reportado como 7-10% sobre cifra de negocio. Centro I+D propio en Azkoitia con Departamento de Nuevos Desarrollos. Participación en 8 proyectos HAZITEK (2024), proyectos Horizon Europe, colaboración estratégica con Tecnalia (15+ años), Centro de Fabricación Avanzada Aeronáutica (Zamudio). Proyecto REP-RAIL (innovación ferroviaria). Premio Nacional de Innovación en Tecnologías de Fabricación Avanzada (BIEMH). Subvención CDTI recibida;B2B;Europeo;Sí, centros de mecanizado CNC propios: Z SERIES (columna móvil), T SERIES (mesa fija), P SERIES, C SERIES, ZVH MULTIPROCESS, T MULTIPROCESS, CLD MULTIPROCESS, máquinas multitarea, máquinas híbridas ADD+PROCESS. Línea de automatización integrada y taladros industriales. Soluciones personalizadas de mecanizado;No cotiza;Empresa familiar — Pyme;alta;Empresa familiar de tercera generación controlada por IBARMIA GESTINVER SL (holding familiar, origen 1953). Ventas de 40M€ y 111 empleados: no supera los 50M€ ni los 250 empleados → Pyme. MODIG Machine Tool AB tiene participación minoritaria relevante desde 2024 pero no se confirma ≥20% ni perfil PE/VC clásico, siendo un fabricante industrial sueco;Campeona oculta;alta;Fabricante vasco de centros de mecanizado CNC de alta precisión (5 ejes, multitarea) para sectores aeronáutico, eólico y ferroviario. 94% exportación, 11% I+D sobre ventas, empresa familiar vasca (1953), B2B, producto propio especializado (series Z, T, P, C). Presencia global con filial en Alemania (hub europeo) y planta productiva en Qingdao (China). Líder europeo en su nicho de máquina herramienta especializada, cumple criterios INML por liderazgo en nicho específico, altísima I+D y exportación;
144;MONDRAGON ASSEMBLY S.C.;F20165940;8.0;1977;Aretxabaleta;Alto Deba;Maquinaria y equipo;Corporación Mondragón;matriz;baja;183.0;eInforma y Empresite (año 2025) — ENTIDAD LOCAL Aretxabaleta. Nota: El grupo global tiene >650 empleados;Mikel Gantxegi;120000000.0;Noticias de Gipuzkoa, El Economista, Prensa Digital (2025) — ENTIDAD LOCAL. Grupo global facturó 120M€ en 2025;;Sí;"Inteligencia Artificial para: (1) Analítica predictiva de procesos de fabricación mediante captura y almacenamiento de datos en cloud; (2) Mantenimiento predictivo usando técnicas de detección automática; (3) Sistemas MES (Manufacturing Execution Systems) para monitoreo continuo de producción; (4) Big Data e IoT industrial integrados en líneas de ensamblaje. Fuente: SPRI (2021) — proyecto de monitorización de líneas de montaje con IA, IoT y cloud";Avanzado;Cloud: AWS (IoT Core, almacenamiento de datos). Sistemas MES propios para control de producción. Integración de IoT industrial y sensores en líneas de ensamblaje. Big Data para analítica predictiva. Robótica colaborativa (colaboración con Universal Robots según LinkedIn). Diseño y fabricación de máquinas especializadas (tabber stringer solar, laminadoras, sistemas de ensamblaje modular). Tecnologías de soldadura de precisión y control de calidad automatizado;medio (5-20);Responsable de I+D (Jean-Philippe Aguerre, galardonado con premio Galbahe 2025 por gestión de patentes). Equipo de ingeniería de diseño y desarrollo de máquinas. Especialistas en IoT e integración de sistemas. Técnicos en robótica colaborativa;80;Centro I+D propio en Aretxabaleta. Inversión en I+D: parte de la inversión corporativa de Mondragón (201M€ en 2024 = 4% de ventas totales del grupo). Proyectos de innovación: desarrollo de máquina tabber stringer solar (2700 células/hora — más rápida del mercado mundial). Colaboración con centros tecnológicos de Mondragón (Ikerlan, Tekniker). Participación en proyectos europeos de innovación;B2B;Mundial;"Sí, líneas completas y equipos automáticos de ensamblaje modular y escalable para: (1) Paneles solares (máquina tabber stringer de 2700 células/hora); (2) Baterías (líneas llave en mano para ensamblaje de módulos y packs); (3) Componentes automoción; (4) Electrodomésticos; (5) Dispositivos médicos y farmacéuticos. Adquisición reciente (febrero 2026): ATP Engineering & Packaging — líneas de packaging alimentario";No cotiza;Cooperativa Mondragón;alta;NIF F (cooperativa) + integrada en Corporación Mondragón al 100% bajo modelo cooperativo de socios-trabajadores. Figura explícitamente en el listado de cooperativas Mondragón conocidas.;Campeona visible;alta;Cooperativa Mondragón fabricante de líneas de ensamblaje automático para solar, e-movilidad y baterías. Líder mundial en su nicho (máquina tabber stringer solar más rápida del mundo: 2.700 células/hora). 80% exportación, 120M€, B2B, producto propio, I+D integrado en Mondragón (4%+ grupo). Cumple criterios INML: liderazgo mundial en automatización industrial especializada.;
149;PESCADOS SALVIO SL;B20813580;0.0;2003;Pasaia;Bidasoa;Comercio al por mayor;;independiente;baja;15.0;eInforma (año 2023, actualizado 04/02/2024);;;"Rango estimado 3.000.001-50.000.000€ (Axesor); Mayor de 30 millones€ (Guía Empresas 2021); Facturación ascendió 24.41% en último año (eInforma)";;;;;;sin evidencia;;;;B2B;Regional;"Sí, servicios de representación y gestión de pesca en altura; comercialización de pescados frescos (merluza de anzuelo, craba, crabarroca, besugo, rodaballo, lubina) y subasta de pescado de altura";No cotiza;Empresa familiar — Gran grupo;baja;Fundada por Manuel Miguez Méndez como socio único. Estructura actual no especificada. Ventas de 50M€ superan el umbral → Gran grupo. Sin datos de PE/VC. Por perfil y origen se clasifica como familiar gran grupo, con baja confianza por falta de datos actuales.;Resto del tejido empresarial;alta;Mayorista de pescado en altura con flota de 20 barcos. 15 empleados, 50M€ (alto volumen por naturaleza del comercio mayorista). Posición regional, sin liderazgo de nicho mundial, sin I+D, sin producto propio diferenciado. Empresa comercial/distribuidora local.;
151;WAVEGARDEN S.L.U.;B75107235;0.0;2005;Aizarnazabal;Urola-Costa;Ingeniería y servicios técnicos;;independiente;baja;80.0;eInforma 2025 (19/03/2025);Josema Odriozola;;No encontrada cifra exacta 2024-2025. Fuentes indican crecimiento 6.78% 2022-2023 y proyección de 40M€ en 2026;WeWork (inversor 2016, posteriormente recomprado por fundadores). Nuevos inversores en capital mencionados 2023 (sin detalles específicos);Sí;CheckMySurf: sistema de captura de video con IA que identifica, graba, edita y asigna olas a surfistas mediante reconocimiento facial. Herramienta de coaching 3D automatizada en desarrollo que analiza biomecánica de maniobras. Algoritmos propios para control de generación de olas (Industria 4.0). Simulaciones CFD 24/7/365 para hidrodinámica;Avanzado;Desarrollo in-house de tecnología patentada. Sistema electromecánico modular con control por software sofisticado. Algoritmos propios para generación de olas. Cámaras 4K profesionales, zoom inteligente, encuadre automático. Plataforma digital de distribución automatizada. Simulaciones CFD avanzadas. Industria 4.0 (control remoto, actualizaciones sin interrumpir servicio). Equipos de ingeniería: dinámica de fluidos, software, ingeniería civil/mecánica/eléctrica, tratamiento de agua;grande (>20);Ingenieros de dinámica de fluidos computacional, Software Engineers, Ingenieros civiles/mecánicos/eléctricos, Especialistas en tratamiento de agua, Arquitectos, Desarrolladores de software, Especialistas en visión por computadora (CheckMySurf);95;Centro I+D propio (Wavegarden Lab en Aizarnazabal). Proyectos HAZITEK: LAIDA, PIVER, TECGEN, AMEFIT, AIMAR, GESOLAS. Más de una década de I+D. Instalaciones a escala real y reducida dedicadas a I+D. Simulaciones CFD continuas 24/7/365. Desarrollo de tecnologías patentadas a nivel mundial;B2B;Mundial;Sí, Wavegarden Cove: sistema electromecánico patentado que genera hasta 1.000 olas por hora, con 20+ tipos de olas diferentes, capacidad para 90 surfistas simultáneamente, consumo energético 10 veces menor que competidores. CheckMySurf: sistema de captura y análisis de video con IA;No cotiza;Empresa familiar — Pyme;media;"Cofundadores Josema Odriozola y Karin Frisch mantienen participación mayoritaria a través de Instant Sport S.L. WeWork recomprado por fundadores. Nuevos inversores 2023 sin detalles suficientes para confirmar PE ≥20%. Ventas de 50M€ pero solo 80 empleados; sin certeza de superar umbral real → Pyme por defecto.";Campeona oculta;alta;Confirmada INML Orkestra. Empresa vasca creadora y líder mundial absoluto en sistemas de generación de olas artificiales (Wavegarden Cove). 95% exportación, I+D intensivo (Lab propio, proyectos HAZITEK, CFD 24/7), producto propio patentado, B2B, propiedad vasca. Monopolio de facto en nicho de tecnología de surf artificial.;True
152;SALVA INDUSTRIAL SL;B75211391;0.0;1943;Lezo;Bidasoa;Maquinaria y equipo;;independiente;media;147.0;eInforma 2025 (entidad local Lezo);David Llordés;40000000.0;"LinkedIn 2022 (récord de facturación); eInforma 2024 muestra crecimiento 6.61% interanual";;Sí;Aplicación de Inteligencia Artificial en hornos profesionales y maquinaria para panadería (eficiencia energética, digitalización avanzada). Sistema Salvalink: monitorización remota de datos, trazabilidad de procesos, control de calidad mediante registro de datos y gráficas, análisis de consumo energético. Panel STC (Smart Touch Control) con inteligencia para optimización de recursos energéticos;Avanzado;Sistemas de control remoto propio (Salvalink, STC Smart Touch Control). Conectividad IoT en hornos. Software de gestión de datos y análisis energético. Infraestructura de 15.000+ m² con automatización y robotización en taller. Máquina láser de ~1M€. Almacén inteligente automatizado. Sistemas de ciberseguridad industrial (programa SPRI implementado);medio (5-20);"Departamento de I+D con 15 personas dedicadas a innovación y desarrollo tecnológico; equipo de ciberseguridad industrial";70;2.5% sobre ventas dedicado a I+D. Departamento específico de innovación y desarrollo con 15 personas. Centro I+D propio en Lezo. Proyectos estratégicos en eficiencia energética, digitalización avanzada e IA. Subvención para tres proyectos estratégicos de innovación tecnológica. Programa ICEX-Next de iniciación a exportación. 75 años de innovación continua;B2B;Europeo;Sí, hornos modulares (más vendido en el mundo), hornos de convección, rotativos, de pisos, ultrarrápidos, equipos de frío, amasadoras, divisoras, formadoras, laminadoras, batidoras industriales, sistema Salvalink de control remoto, panel STC Smart Touch Control;No cotiza;Empresa familiar — Pyme;alta;Familia Llordés mayoritaria, tercera generación, controlada a través de INSALHOL 2018 SL. Ventas de 40M€ y 147 empleados: no supera los 50M€ ni los 250 empleados → Pyme. No se detectan PE/VC con ≥20%.;Campeona oculta;alta;Fabricante vasco de hornos industriales para panadería/pastelería. 70% exportación, 2.5% I+D, líder europeo en su nicho (horno modular más vendido del mundo según empresa), B2B, producto propio, empresa familiar vasca (75 años). Cumple criterios INML aunque con confianza media por falta de validación Orkestra y posición de liderazgo mundial no completamente verificada externamente.;
153;J.IGUARAN SL;B72498512;0.0;1991;Leaburu;Tolosaldea;Industria alimentaria;;independiente;baja;6.0;Empresite (año 2023) - entidad local Leaburu;;;Rango 10-50 millones EUR (Infoempresa 2021), cifra exacta no disponible en fuentes públicas;;;;;;sin evidencia;;Aproximadamente 50% (comercialización en España y Francia según web corporativa);;B2B;Regional;No (distribuidor/comerciante mayorista de cereales y fertilizantes de terceros);No cotiza;Empresa familiar — Gran grupo;media;Sociedad unipersonal controlada por Iguaran Urcola Miren-Jasone, probablemente familia Iguaran con actividad desde 1954. Ventas de 50M€ superan el umbral → Gran grupo. Solo 6 empleados (empresa comercializadora), pero el criterio de ventas ≥50M€ se cumple.;Resto del tejido empresarial;alta;Comerciante mayorista de cereales y fertilizantes. 6 empleados, 50M€ (volumen típico de trading). Sin producto propio, sin I+D, sin liderazgo de nicho. Empresa de distribución/trading con posición regional. No cumple ningún criterio de campeona.;
154;YURRITA E HIJOS SA;A20026415;0.0;1963;Mutriku;Bajo Deba;Industria alimentaria;;independiente;baja;180.0;eInforma 2025;Juan Jose Yurrita Orbegozo;20000000.0;Empresite/eInforma (ejercicio anterior a 2024);;No;;;;sin evidencia;;60;;Mixto;Nacional;Sí, conservas de anchoa del Cantábrico, bonito del norte, boquerones, croquetas artesanas y especialidades de gastronomía vasca (marcas Lorea Gourmet y Yurrita Gastronomika);No cotiza;Empresa familiar — Pyme;alta;100% propiedad de la familia Yurrita. Ventas de 20M€ y 180 empleados: no supera los 50M€ → Pyme. No se detectan PE/VC con ≥20%.;Campeona oculta;alta;Empresa familiar vasca fabricante de conservas de pescado gourmet (anchoa, bonito). 60% exportación, referente nacional, producto propio (marcas Lorea Gourmet y Yurrita Gastronomika). Sin embargo, 20M€ y 180 empleados no alcanzan escala de campeona famosa, y el nicho de conservas artesanas vascas no tiene liderazgo mundial verificable. Pyme alimentaria de calidad pero sin criterios INML.;
155;INFORMATIKA ZERBITZUEN FORU ELKARTEA-SOCIEDAD FORAL DE SERVICIOS INFORMATICOS SA;A20456976;0.0;1993;Donostia-San Sebastián;Donostialdea;Tecnologías de la información;;independiente;baja;170.0;eInforma 2025 (03/09/2025) - entidad local Gipuzkoa;;50000000.0;"eInforma 2023 (último depósito disponible); crecimiento 9.72% 2022-2023";;Sí;1) Herramienta IA para agilizar valoraciones de dependencia (BVD): análisis de 15+ años de formularios para reducir cuestionario a 10 preguntas. 2) Iniciativas Big Data e IA para detección de fraude fiscal (proyectos Zerga y Kontua). 3) Data Fabric y Digital Twins en sector público. 4) Miembro del ecosistema BAIC (Basque Artificial Intelligence Center) desde 2024. 5) Analítica avanzada de datos para administración inteligente;Avanzado;Cloud: infraestructura cloud para administración pública. Big Data: iniciativas de Big Data Analytics. Desarrollo: aplicaciones móviles (Errenta+ para iOS/Android). Metodologías: Agile. Integraciones: soluciones llave en mano con múltiples sistemas públicos. Laboratorio de investigación tecnológica propio en desarrollo. Colaboraciones con Tecnalia y centros tecnológicos vascos;medio (5-20);Técnico/a de Soluciones/Desarrollo, Especialista Cobol, Consultor/a de Negocio, Responsable de Estrategia (Gorka Blanco Osambela), Jefe Servicio Innovación y Transformación;;Laboratorio de investigación tecnológica propio. Proyectos europeos (financiación FEDER - Next Generation EU). Vigilancia tecnológica activa. Colaboraciones con Tecnalia. Participación en iniciativas de innovación pública (Etorkizuna Eraikiz);B2B;Nacional;Sí, múltiples soluciones propias: 1) Errenta+ (app móvil para Campaña de Renta). 2) Herramienta IA para valoración de dependencia (BVD). 3) Plataforma de Administración Electrónica (reconocida por Ernst & Young 2019 como más madura en España). 4) Proyectos Zerga y Kontua (Big Data + IA para fraude fiscal). 5) Soluciones de Data Fabric para sector público;No cotiza;Empresa pública o participada por sector público;alta;Controlada al 100% por la Diputación Foral de Gipuzkoa, institución pública. Sociedad Pública Foral sin ambigüedad.;Resto del tejido empresarial;alta;Empresa pública foral (100% Diputación Foral de Gipuzkoa) dedicada a servicios TIC para administraciones públicas locales. No compite en mercado internacional, no exporta, no es fabricante en sentido industrial. Su misión es instrumental/pública, no encaja en ninguna categoría de campeona.;
156;ENGINE POWER COMPONENTS GROUP EUROPE SL.;B75066902;0.0;2012;Eibar;Bajo Deba;Automoción;;independiente;baja;85.0;eInforma 2025;;;;;;;;;sin evidencia;;;Participación en proyectos Hazitek (Gobierno Vasco) y FEDER para desarrollo de nuevas generaciones de árboles de levas con tecnologías avanzadas de inducción inteligente y técnicas no destructivas;B2B;Mundial;Sí, árboles de levas de precisión y componentes de motor para aplicación industrial, marina y de generación de energía;No cotiza;Filial de multinacional extranjera;alta;Filial del grupo estadounidense Engine Power Components Inc., con sede en Grand Haven, Michigan (EEUU). Control mayoritario por matriz extranjera.;Resto del tejido empresarial;alta;Filial de multinacional estadounidense (Engine Power Components Inc., Michigan). Aunque concentra el 45% de las ventas del grupo y tiene posición de liderazgo mundial en árboles de levas, la propiedad es extranjera, lo que la excluye de campeona oculta. Encaja como tractora por su tamaño, exportación y arrastre al ecosistema industrial de Eibar.;
158;PERFILES ESPECIALES SELAK SL;B20490801;3.0;1994;Hernani;Donostialdea;Siderurgia y metalurgia;;independiente;baja;57.0;eInforma 2025, Empresite, Axesor;Labarquilla Basabe Diego;;;Partners Group (PE suizo, 75% del grupo Savera desde 2014, valoración 320M€);;;Básico;ERP: SAP S/4HANA (utilizado en el grupo Savera). Comunicación B2B integrada con clientes. No hay evidencia de stack avanzado en SELAK específicamente;mínimo (<5);;;Evidencia histórica: inversión en implantación en India (1,29M€ en 2009). Grupo Savera tiene centro de I+D (Savera Innova) en Navarra. No hay datos específicos de % I+D para SELAK;B2B;Regional;Sí, perfiles especiales de acero laminados en caliente (cabecera de la división de perfiles laminados del grupo Savera);No cotiza;Participada por PE / capital riesgo / family office;alta;Partners Group (PE suizo) controla el 75% del grupo Savera, propietario único de Selak. Participación de PE ≥20% prevalece sobre cualquier otra categoría familiar.;Resto del tejido empresarial;alta;Fabricante de perfiles especiales de acero laminados en caliente, integrada en el grupo Savera (controlado al 75% por Partners Group, PE suizo). Posición de mercado regional, sin evidencia de liderazgo mundial en nicho, I+D no cuantificado. No cumple criterios de campeona oculta ni escala de campeona famosa. Podría considerarse tractora por propiedad extranjera pero tamaño y posición son limitados.;
160;ATHADER SL;B20435459;0.0;1992;Errenteria;Bidasoa;Maquinaria y equipo;;independiente;media;43.0;eInforma 2025, Empresite 2025 - entidad local Rentería;Harkaitz Luengo;34454070.0;"Ranking Empresas El Economista 2023; eInforma indica disminución 4.24% en último año";;Sí;Planes futuros de implementación: big data, machine learning y gemelo digital (digital twin) para teleservicio remoto, realidad virtual, cámaras y plataformas de comunicación con clientes. Actualmente en fase de digitalización industrial iniciada en 2016;Avanzado;"Tecnología propia en constante evolución; sistemas de automatización avanzada (robots, operación manos libres, tracking automático de bobinas); virtualización de servicios; ciberseguridad industrial (ayuda SPRI); componentes preferentemente de origen europeo; ISO 9001:2015";medio (5-20);"Angel Maenza (Responsable IT); equipo de ingeniería con 30+ años experiencia; equipo técnico multidisciplinar para diseño, gestión de proyectos, fabricación, montaje y servicio post-venta";70-80;"1-2% sobre ventas dedicado a I+D; tecnología propia en constante evolución; estrategia de digitalización desde 2016; ayuda SPRI ciberseguridad industrial; presencia en 5 continentes con 300+ líneas instaladas";B2B;Mundial;Sí, líneas de corte longitudinal, líneas de aplanado y corte transversal, líneas combinadas y multiblanking, líneas de embalado, líneas de inspección y rebobinado, líneas especiales para procesado de bobinas metálicas;No cotiza;Filial de multinacional extranjera;alta;The Bradbury Co., Inc. (empresa estadounidense) es accionista mayoritario desde 2012. Control >50% por matriz con sede fuera de España.;Resto del tejido empresarial;alta;Filial de multinacional estadounidense (The Bradbury Co., Inc.) desde 2012. Fabrica líneas de corte de bobinas metálicas con presencia en 5 continentes y 300+ instalaciones, exportación 70-80%. Aunque tiene producto propio y posición de liderazgo mundial, la propiedad extranjera la clasifica como tractora. I+D en torno al 1-2%, por debajo del umbral INML.;
161;LAU LAGUN BEARINGS SL;B95824777;0.0;1973;Olaberria;Goierri;Maquinaria y equipo;;independiente;media;154.0;Empresite (eInforma) - año 2024, entidad local Olaberria;Pello Irujo;34358953.0;Ranking Empresas El Economista - año 2023;Portobello Capital (PE) - desinvirtió en 2019 a favor de Groupe Legris Industries;Sí;Rodamientos con autodiagnóstico (colaboración IK4-IKERLAN): capacidad de autodiagnosticarse y comunicar estado al sistema de control del aerogenerador. Desarrollo de hardware y software para monitorización y análisis de condición del rodamiento en operación (condition monitoring). Sensores para indicadores de rodamiento. Analítica predictiva para mantenimiento preventivo en parques eólicos.;Avanzado;Desarrollo propio de hardware y software para monitorización de rodamientos. Bancos de ensayos propios con validación a escala real. Metodologías de cálculo avanzadas (cálculos de tornillería, dentado, rodadura, cálculo estructural). Colaboración con centros tecnológicos (IK4-IKERLAN). Participación en proyectos europeos (Innteresting, Main Wind). Certificaciones ISO 9001 e ISO 14001.;medio (5-20);Ingenieros de diseño, especialistas en cálculo estructural, técnicos de ensayos, desarrolladores de software/hardware para monitorización, especialistas en validación de producto;67-80;Centro I+D y ensayos propio en Idiazabal (Gipuzkoa). Líneas de investigación activas: testing/validation, condition monitoring, desarrollo de nuevos productos, metodologías de cálculo avanzadas, mejora de tecnologías de fabricación. Participación en proyectos europeos (Horizon, CDTI). Colaboración con universidades y centros tecnológicos. Subvención SPRI registrada.;B2B;Europeo;Sí, rodamientos de pitch y yaw para aerogeneradores (onshore/offshore hasta 10MW), coronas de orientación para grúas y maquinaria de elevación, rodamientos especiales de gran tamaño (hasta 5m diámetro), plataforma de monitorización y diagnóstico de rodamientos en servicio;No cotiza;Filial de multinacional extranjera;alta;Groupe Legris Industries (Francia) es accionista mayoritario desde 2019. Control por matriz con sede fuera de España (Francia). Portobello Capital ya desinvirtió.;Resto del tejido empresarial;alta;Filial de Groupe Legris Industries (Francia) desde 2019. Fabricante de grandes rodamientos y coronas de orientación para eólica, con liderazgo europeo, exportación 67-80% y centro I+D propio en Idiazabal. Perfil técnico muy sólido pero propiedad extranjera la clasifica como tractora, no como campeona oculta.;
163;ARTUKOLUKE SL;B20557039;0.0;"1908 (fundación original); 1996 (constitución ARTUKOLUKE SL)";Urretxu;Goierri;Comercio al por mayor;;independiente;baja;40.0;eInforma 2024;;;"Rango 30-60M€ según Iberinform; cifra exacta no disponible en fuentes públicas";;No;;;;sin evidencia;;Aproximadamente 15-20% (servicios en Francia y expansión a Aragón, pero principalmente nacional);;B2B;Regional;No (distribuidor/mayorista de productos de terceros, sin fabricación propia);No cotiza;Empresa familiar — Gran grupo;media;Familia Usabiaga controla la empresa. Ventas declaradas de 50M€ y sin PE ≥20% identificado. Supera el umbral de 50M€ → Gran grupo. Confianza media por falta de detalle en estructura accionarial.;Resto del tejido empresarial;alta;Distribuidor/mayorista de materias primas alimentarias (azúcar, harina, sal) y piensos. Sin fabricación propia, posición regional, exportación mínima (~15-20%), sin I+D. Empresa familiar comercial sin liderazgo de nicho ni escala relevante para otras categorías.;
164;TECNICA PLASTICS & RUBBER COMPONENTS SA.;A20041430;0.0;1974;Irun;Bidasoa;Caucho y plásticos;;independiente;baja;50.0;eInforma 2026 (17/02/2026) - entidad local Irún;;;Rango 60.000-120.000€ (Iberinform) o 10-50M€ (InfoEmpresa) - datos inconsistentes, últimas cuentas 2024 no públicas;;;;;;sin evidencia;;Sí realiza actividad internacional de importación y exportación (confirmado en Empresite), porcentaje no especificado;Subvención Indartu 2016: 3,5M€ en nuevas gamas de componentes de motor. Premio Innovación Irún Ekintzan 2015. Centro I+D propio no confirmado;B2B;Nacional;Sí, componentes propios: amortiguadores, antivibratorios, juntas anulares y tóricas para automoción;No cotiza;Empresa familiar — Gran grupo;baja;Controlada al 100% por TECNICA POLYMER TRANSFORMATION ASOCIADOS SL, pero no hay datos sobre quién controla esta sociedad holding. Ventas de 50M€ y 50 empleados (supera umbral de ventas). Sin datos de PE ni multinacional, se clasifica como familiar gran grupo por defecto.;Resto del tejido empresarial;alta;Fabricante de componentes de plástico y caucho para automoción. Posición de mercado regional (puesto 164 provincial), sin evidencia de liderazgo mundial en nicho, I+D no cuantificado como % de ventas. Empresa familiar de tamaño medio sin escala suficiente para campeona famosa ni liderazgo de nicho para campeona oculta.;
